                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4522,                 5.4431,                 2.6514,                0.64939,                 0.4619,                0.53046,                0.26313,                 1.8054,                 1.3786,                  1.349,              0.0033285,              0.0033285,              0.0033285
                      2,                 1.7101,                 1.1655,                 1.0414,                0.79659,                0.65181,                0.74642,                0.46401,                 1.2205,                0.85357,                  1.076,              0.0065519,              0.0065519,              0.0065519
                      3,                 1.4814,                0.88058,                0.95641,                0.84188,                0.72519,                0.80962,                0.54574,                 1.0021,                0.66966,                0.97986,              0.0096654,              0.0096654,              0.0096654
                      4,                 1.2775,                0.70016,                0.90668,                0.91387,                0.82195,                0.88265,                0.61001,                0.88964,                0.51185,                0.93093,               0.009505,               0.009505,               0.009505
                      5,                 1.1391,                0.59885,                0.88192,                0.93148,                0.81633,                0.89214,                0.62848,                0.83451,                0.47425,                0.90808,               0.009505,               0.009505,               0.009505
                      6,                 1.0631,                0.55036,                0.86649,                0.93602,                0.83581,                0.90559,                0.64201,                 0.8318,                0.45932,                0.89719,                0.00934,                0.00934,                0.00934
                      7,                 1.0126,                0.51846,                0.85707,                0.94593,                0.85528,                0.91855,                0.67634,                0.75385,                0.41682,                0.87735,               0.009175,               0.009175,               0.009175
                      8,                0.97431,                0.49601,                0.85111,                0.95975,                0.85486,                0.92754,                0.69847,                0.72938,                 0.3918,                0.87461,                0.00901,                0.00901,                0.00901
                      9,                0.93998,                0.47425,                0.84535,                0.95476,                0.86259,                  0.926,                0.67661,                 0.7511,                0.40089,                0.86771,               0.008845,               0.008845,               0.008845
                     10,                 0.9232,                0.46535,                0.84218,                0.96998,                0.84078,                0.92733,                0.70679,                0.70824,                0.38469,                  0.863,                0.00868,                0.00868,                0.00868
                     11,                0.90038,                0.45171,                0.83932,                0.94574,                0.87859,                0.93463,                0.69919,                0.72465,                0.37343,                0.86287,               0.008515,               0.008515,               0.008515
                     12,                0.88667,                0.44365,                0.83722,                0.95777,                0.87618,                0.93658,                 0.7061,                 0.7105,                0.36908,                0.85878,                0.00835,                0.00835,                0.00835
                     13,                0.87024,                0.43572,                0.83199,                0.95947,                0.86911,                0.93763,                0.71399,                0.68489,                0.36449,                0.85201,               0.008185,               0.008185,               0.008185
                     14,                0.85669,                0.42691,                0.83035,                 0.9554,                0.88209,                0.93848,                0.71462,                0.69459,                0.35092,                0.85339,                0.00802,                0.00802,                0.00802
                     15,                0.84841,                0.42252,                0.83092,                0.95724,                0.88457,                0.94215,                0.71945,                0.69341,                 0.3504,                0.84947,               0.007855,               0.007855,               0.007855
                     16,                 0.8369,                0.41716,                0.82894,                0.96768,                0.88107,                0.94341,                 0.7256,                0.67804,                0.34444,                0.84643,                0.00769,                0.00769,                0.00769
                     17,                 0.8265,                0.41079,                0.82632,                0.96101,                0.88027,                0.94074,                0.72793,                0.67832,                0.33879,                0.84545,               0.007525,               0.007525,               0.007525
                     18,                0.82017,                0.40352,                0.82419,                0.96607,                0.87975,                0.94482,                0.72829,                0.66966,                0.33956,                0.84469,                0.00736,                0.00736,                0.00736
                     19,                0.81027,                0.40015,                0.82364,                0.96676,                0.88706,                0.94302,                 0.7142,                0.69696,                0.34289,                0.84641,               0.007195,               0.007195,               0.007195
                     20,                0.80394,                0.39545,                0.82298,                0.96634,                0.88182,                0.94581,                0.73006,                0.67199,                0.33217,                0.84052,                0.00703,                0.00703,                0.00703
                     21,                0.79121,                0.39116,                0.82227,                0.95937,                0.89264,                0.94901,                0.73991,                0.65177,                0.32552,                0.83806,               0.006865,               0.006865,               0.006865
                     22,                0.78191,                0.38536,                 0.8205,                0.96747,                0.88325,                0.94477,                0.73225,                0.66344,                0.32679,                0.84047,                 0.0067,                 0.0067,                 0.0067
                     23,                0.77556,                0.37926,                0.81859,                 0.9614,                0.89471,                0.94637,                0.72439,                0.66479,                0.32472,                0.83562,               0.006535,               0.006535,               0.006535
                     24,                 0.7703,                0.37658,                 0.8203,                 0.9679,                0.89127,                0.95079,                0.73593,                0.65508,                0.32208,                0.83501,                0.00637,                0.00637,                0.00637
                     25,                0.76188,                0.37463,                0.81826,                0.96452,                0.89433,                0.95322,                0.75179,                0.63261,                0.31543,                0.83344,               0.006205,               0.006205,               0.006205
                     26,                0.75486,                0.37048,                0.81727,                0.97406,                0.88711,                0.95122,                0.74083,                0.63995,                0.31253,                0.83185,                0.00604,                0.00604,                0.00604
                     27,                0.75536,                0.37046,                0.81611,                0.96809,                0.89867,                0.95177,                0.74051,                 0.6454,                0.31098,                0.83156,               0.005875,               0.005875,               0.005875
                     28,                0.74731,                0.36443,                0.81683,                0.96993,                0.89063,                0.95143,                0.74262,                0.64791,                0.31215,                0.83275,                0.00571,                0.00571,                0.00571
                     29,                0.74539,                0.36219,                0.81562,                0.97564,                0.89451,                0.95425,                0.74369,                0.64923,                0.31266,                0.82924,               0.005545,               0.005545,               0.005545
                     30,                 0.7364,                0.35999,                 0.8148,                0.96916,                0.89443,                0.95414,                0.74688,                0.63853,                0.30759,                 0.8279,                0.00538,                0.00538,                0.00538
                     31,                0.73651,                0.35812,                0.81465,                0.96718,                 0.8979,                 0.9531,                0.74723,                0.63979,                 0.3074,                 0.8302,               0.005215,               0.005215,               0.005215
                     32,                0.72911,                0.35327,                0.81334,                0.97453,                0.89568,                0.95564,                0.75226,                0.62721,                 0.2992,                0.82865,                0.00505,                0.00505,                0.00505
                     33,                0.72349,                0.35059,                0.81285,                0.97369,                 0.8991,                0.95477,                0.75239,                0.63527,                  0.303,                0.82756,               0.004885,               0.004885,               0.004885
                     34,                0.71689,                0.34791,                0.80903,                0.97435,                 0.8973,                0.95509,                0.75461,                0.62869,                0.29869,                0.82772,                0.00472,                0.00472,                0.00472
                     35,                0.71459,                0.34528,                 0.8116,                0.97052,                0.90292,                0.95505,                0.75868,                0.62349,                 0.2957,                0.82516,               0.004555,               0.004555,               0.004555
                     36,                0.71018,                0.34257,                0.81077,                0.96438,                0.91177,                0.95611,                0.75797,                0.62548,                0.29423,                0.82419,                0.00439,                0.00439,                0.00439
                     37,                 0.7079,                0.34149,                0.80975,                0.96664,                0.90935,                0.95653,                0.75198,                0.63528,                0.30091,                0.82661,               0.004225,               0.004225,               0.004225
                     38,                0.70763,                0.34083,                0.80974,                0.97641,                 0.8958,                 0.9568,                0.76164,                0.62201,                0.29316,                0.82484,                0.00406,                0.00406,                0.00406
                     39,                0.70211,                0.33825,                0.80996,                0.97664,                 0.8958,                0.95822,                0.76198,                0.62507,                0.29427,                0.82623,               0.003895,               0.003895,               0.003895
                     40,                0.70251,                0.33891,                0.80948,                0.96909,                0.90807,                0.95759,                0.75598,                0.62861,                0.29492,                0.82435,                0.00373,                0.00373,                0.00373
                     41,                0.69943,                0.33503,                0.80875,                0.96893,                0.90677,                0.95722,                0.75996,                 0.6208,                0.29158,                0.82419,               0.003565,               0.003565,               0.003565
                     42,                0.69333,                0.33127,                0.80674,                0.96893,                0.90501,                0.95638,                0.76014,                0.61679,                0.28921,                0.82227,                 0.0034,                 0.0034,                 0.0034
                     43,                0.68762,                0.32823,                0.80819,                0.97689,                0.90376,                0.95797,                 0.7614,                0.61942,                0.29116,                0.82271,               0.003235,               0.003235,               0.003235
                     44,                0.68463,                0.32685,                0.80561,                0.96675,                0.90944,                0.95866,                0.76474,                0.61736,                0.28985,                0.82223,                0.00307,                0.00307,                0.00307
                     45,                0.68275,                0.32648,                 0.8053,                0.96863,                0.90735,                0.95817,                0.76564,                0.61134,                0.28567,                0.82135,               0.002905,               0.002905,               0.002905
                     46,                0.67526,                0.32193,                0.80572,                0.96829,                0.91055,                0.95864,                0.76613,                0.61049,                0.28476,                0.82107,                0.00274,                0.00274,                0.00274
                     47,                0.67313,                0.31925,                0.80506,                0.97307,                0.90704,                0.95897,                0.76554,                0.61257,                0.28525,                0.82135,               0.002575,               0.002575,               0.002575
                     48,                0.67231,                 0.3201,                0.80574,                0.97612,                0.90024,                0.95797,                0.76493,                0.61818,                 0.2893,                0.82057,                0.00241,                0.00241,                0.00241
                     49,                 0.6694,                0.31612,                0.80551,                0.96471,                0.90865,                0.95843,                0.76541,                0.61612,                0.28745,                0.82038,               0.002245,               0.002245,               0.002245
                     50,                0.66508,                0.31361,                0.80422,                 0.9609,                0.91099,                0.95784,                0.76246,                0.62244,                0.29051,                0.82113,                0.00208,                0.00208,                0.00208
                     51,                0.67452,                0.31297,                0.80242,                0.96438,                0.91356,                0.95915,                0.77613,                0.58582,                0.27896,                 0.8178,               0.001915,               0.001915,               0.001915
                     52,                0.65918,                 0.3076,                0.80027,                 0.9596,                 0.9173,                0.95902,                0.78146,                0.57665,                0.27581,                0.81704,                0.00175,                0.00175,                0.00175
                     53,                0.65353,                0.30362,                0.80078,                0.96476,                0.90896,                0.95954,                0.78233,                0.57495,                  0.276,                0.81673,               0.001585,               0.001585,               0.001585
                     54,                0.64956,                0.30174,                0.80045,                0.95991,                0.91528,                0.95958,                0.78369,                0.57233,                0.27518,                0.81604,                0.00142,                0.00142,                0.00142
                     55,                 0.6483,                0.29987,                0.79886,                0.96421,                0.91261,                0.96043,                0.78218,                0.57494,                0.27445,                0.81542,               0.001255,               0.001255,               0.001255
                     56,                0.64207,                0.29582,                0.79814,                0.96475,                0.91478,                0.96088,                0.78173,                0.57709,                0.27584,                0.81531,                0.00109,                0.00109,                0.00109
                     57,                0.64095,                0.29513,                0.79903,                0.96908,                0.90905,                0.96095,                0.78367,                0.57299,                0.27386,                0.81533,               0.000925,               0.000925,               0.000925
                     58,                0.63259,                0.29143,                0.79816,                0.97026,                0.90845,                0.96044,                0.78415,                0.57137,                0.27239,                0.81448,                0.00076,                0.00076,                0.00076
                     59,                0.62821,                0.28926,                0.79747,                0.97242,                0.90728,                0.96034,                0.78576,                0.56954,                0.27169,                0.81421,               0.000595,               0.000595,               0.000595
                     60,                0.62764,                 0.2871,                0.79557,                0.97383,                0.90696,                0.96082,                 0.7857,                0.56971,                0.27148,                0.81413,                0.00043,                0.00043,                0.00043
